2024-10-27T15:46:14+01:00: root:[::1]:51769 just sent attack, (target: 70.70.70.70 | method: udp)
2024-10-27T15:46:42+01:00: root:[::1]:51769 just sent attack, (target: 70.70.70.70 | method: udp)
2024-10-27T15:47:36+01:00: root:[::1]:51769 just sent attack, (target: 70.70.70.70 | method: udp)
2024-10-27T15:49:14+01:00: root:[::1]:52091 just sent attack, (target: 70.70.70.70 | method: udp)
2024-10-27T15:51:27+01:00: root:[::1]:52261 just sent attack, (target: 70.70.70.70 | method: udp)
2024-10-27T15:51:33+01:00: root:[::1]:52261 just sent attack, (target: 70.70.70.70 | method: udp)
2024-10-27T15:52:53+01:00: root:[::1]:52261 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:36:40+01:00: root:[::1]:51850 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:50+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:53+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:54+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:54+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:55+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:55+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:56+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:56+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:56+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:57+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:46:51+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: tlskill)
2024-11-04T22:46:52+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: tlskill)
2024-11-04T22:48:15+01:00: root:[::1]:52924 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:50:20+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-04T22:50:22+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-04T22:50:22+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-04T22:50:23+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-04T22:50:23+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-04T22:50:23+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-04T22:50:24+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-04T22:50:24+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-04T22:50:24+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-11T14:44:58+01:00: root:[::1]:58596 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-11T14:45:10+01:00: root:[::1]:58596 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-11T14:47:02+01:00: root:[::1]:58991 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-23T04:01:17Z: root:198.251.81.61:59934 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-23T04:05:34Z: root:198.251.81.61:59934 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-23T14:46:50Z: payload:98.160.230.146:39996 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-23T15:12:38Z: payload:98.160.230.146:48134 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-23T15:47:37Z: root:198.251.81.61:51405 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-23T19:07:26Z: payload:198.251.80.211:42754 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-23T19:21:25Z: root:198.251.81.61:52118 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-23T19:23:21Z: payload:198.251.80.211:42852 just sent attack, (target: https://cloud.google.com/?hl=en | method: http-rapid)
2024-11-23T21:11:52Z: root:198.251.81.61:53012 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-23T21:13:03Z: payload:198.251.80.211:36256 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-23T21:14:52Z: root:198.251.81.61:53048 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-23T21:17:18Z: payload:198.251.80.211:53060 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-23T21:21:34Z: root:198.251.81.61:53048 just sent attack, (target: https://www.nexusmods.com/ | method: http-rapid)
2024-11-23T21:24:00Z: root:198.251.81.61:53048 just sent attack, (target: https://www.nexusmods.com/ | method: http-rapid)
2024-11-23T23:21:52Z: root:198.251.81.61:54070 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-23T23:23:02Z: root:198.251.81.61:54070 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-23T23:45:35Z: xql:198.251.81.61:54445 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-23T23:47:31Z: xql:198.251.81.61:54445 just sent attack, (target: 174.107.219.160 | method: home)
2024-11-23T23:51:08Z: xql:198.251.81.61:54445 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-23T23:51:44Z: payload:98.160.230.146:43224 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-23T23:55:27Z: xql:198.251.81.61:54478 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-23T23:58:40Z: xql:198.251.81.61:54478 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-24T00:24:28Z: xql:198.251.81.61:54478 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-24T00:25:41Z: xql:198.251.81.61:54478 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-24T00:34:59Z: root:198.251.81.61:54624 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-24T01:01:16Z: payload:198.251.80.211:57486 just sent attack, (target: 98.41.65.210 | method: home)
2024-11-24T01:06:23Z: xql:198.251.81.61:54732 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-24T01:11:25Z: xql:198.251.81.61:54732 just sent attack, (target: 174.107.219.160 | method: home)
2024-11-24T01:33:12Z: xql:198.251.81.61:54813 just sent attack, (target: 174.107.219.160 | method: home)
2024-11-24T01:56:00Z: xql:198.251.81.61:54881 just sent attack, (target: 174.107.219.160 | method: home)
2024-11-24T02:02:58Z: xql:198.251.81.61:54930 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-24T02:44:14Z: xql:198.251.81.61:55125 just sent attack, (target: 20.20.20.7 | method: home)
2024-11-24T02:53:34Z: xql:198.251.81.61:55125 just sent attack, (target: 20.20.20.7 | method: home)
2024-11-24T02:55:13Z: xql:198.251.81.61:55125 just sent attack, (target: 20.20.20.7 | method: home)
2024-11-24T02:55:34Z: payload:198.251.80.211:59542 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-24T02:55:44Z: xql:198.251.81.61:55125 just sent attack, (target: 20.20.20.7 | method: home)
2024-11-24T02:55:58Z: xql:198.251.81.61:55125 just sent attack, (target: 20.20.20.7 | method: home)
2024-11-24T02:57:50Z: xql:198.251.81.61:55125 just sent attack, (target: 20.20.20.7 | method: home)
2024-11-24T02:58:00Z: payload:198.251.80.211:59542 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-24T02:58:19Z: xql:198.251.81.61:55125 just sent attack, (target: 20.20.20.7 | method: home)
2024-11-24T03:01:23Z: xql:198.251.81.61:55125 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-24T03:11:48Z: xql:198.251.81.61:55125 just sent attack, (target: 174.107.219.160 | method: home)
2024-11-24T03:14:34Z: xql:198.251.81.61:55125 just sent attack, (target: 98.41.65.210 | method: home)
2024-11-24T04:16:18Z: xql:198.251.81.61:55504 just sent attack, (target: 174.107.219.160 | method: home)
2024-11-24T06:16:55Z: xql:198.251.81.61:56818 just sent attack, (target: 184.17.245.22 | method: home)
2024-11-24T15:11:26Z: payload:198.251.80.211:41512 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-24T18:12:02Z: xql:198.251.81.61:57982 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-24T18:35:07Z: xql:198.251.81.61:58123 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-24T19:48:38Z: payload:198.251.81.61:37650 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-24T19:49:28Z: payload:198.251.81.61:37650 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-24T19:54:03Z: xql:198.251.81.61:58499 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-24T19:54:47Z: xql:198.251.81.61:58499 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-24T19:58:05Z: xql:198.251.81.61:58499 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-24T19:59:34Z: xql:198.251.81.61:58499 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-24T20:04:30Z: xql:198.251.81.61:58540 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-24T20:35:50Z: xql:198.251.81.61:58540 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-24T20:44:11Z: xql:198.251.81.61:58632 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-24T21:03:09Z: xql:198.251.81.61:58632 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-24T23:14:43Z: xql:198.251.81.61:59524 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-24T23:46:39Z: xql:198.251.81.61:59747 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-24T23:49:56Z: xql:198.251.81.61:59747 just sent attack, (target: 184.17.245.22 | method: home)
2024-11-25T00:34:25Z: root:198.251.81.61:60002 just sent attack, (target: https://www.nexusmods.com/ | method: https)
2024-11-25T03:52:07Z: xql:198.251.81.61:61671 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-25T04:08:57Z: xql:198.251.81.61:61840 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-25T04:27:01Z: payload:198.251.80.211:51470 just sent attack, (target: https://cloud.google.com/?hl=en | method: https)
2024-11-25T04:30:55Z: payload:198.251.80.211:51470 just sent attack, (target: https://tinder.com/ | method: https)
2024-11-25T04:35:37Z: payload:198.251.80.211:50660 just sent attack, (target: https://partyhax.club/2823249114 | method: https)
2024-11-25T04:43:29Z: xql:198.251.81.61:62210 just sent attack, (target: 70.70.70.7 | method: home)
2024-11-25T04:47:34Z: payload:109.120.149.149:58827 just sent attack, (target: 92.233.17.98 | method: home)
2024-11-25T04:51:00Z: xql:198.251.81.61:62210 just sent attack, (target: 92.233.17.98 | method: home)
